sentence,clause
"John A. Scott, a former publisher and retired chairman of the Gannett Foundation, died Wednesday.", a former publisher and retired chairman of the Gannett Foundation
"William Rosenblatt, a financier and a director and organizer of many companies, died yesterday at his home in Manhattan.", a financier and a director and organizer of many companies
"N. Loring Bowen Jr., counsel to the Manhattan law firm of Sidamon-Eristoff, Morrison, Warren, Ecker & Schwartz, died Tuesday at Lenox Hill Hospital.", counsel to the Manhattan law firm of Sidamon-Eristoff
"Lloyd Haynes, an actor who was best known for his portrayal of the history teacher Pete Dixon in the Emmy Award-winning television series ''Room 222,'' died of lung cancer Wednesday in Coronado, Calif.", an actor who was best known for his portrayal of the history teacher Pete Dixon in the Emmy Award-winning television series ''Room 222
"Santo Trafficante Jr., one of the last of the old-time reputed Mafia dons, who was reportedly enlisted in 1960 in a futile effort to kill Fidel Castro, has died at the age of 72.", one of the last of the old-time reputed Mafia dons
"Robert Gordy, an artist known for whimsical paintings with repeated patterns and abstract studies of human heads, died Wednesday.", an artist known for whimsical paintings with repeated patterns and abstract studies of human heads
"Art Stark, the producer of ''The Tonight Show'' from 1962 until 1967, died yesterday at New York Hospital.", the producer of ''The Tonight Show'' from 1962 until 1967
"Wiley H. Critz, consulting member of Marts & Lundy Inc., Manhattan fund-raisers, died of a heart attack Monday.", consulting member of Marts & Lundy Inc.
"John W. Riely, retired chairman of the executive board of the Richmond-based law firm of Hunton & Williams, died after a long illness Sunday at his home in Richmond.", retired chairman of the executive board of the Richmond-based law firm of Hunton & Williams
"Archbishop Richard Arthur Marchenna, primate of the Old Roman Catholic Church in North America, died Thursday at St. Dominic's Church, 602 Leonard Street, Brooklyn, where he had lived for many years.", primate of the Old Roman Catholic Church in North America
"Moshe Dayan, the Israeli soldier-statesman, died of a heart ailment today in Tel Aviv's Sheba Medical Center.", the Israeli soldier-statesman
"Stephen P. Mugar, founder of the Star Market supermarket chain and a philanthropist who donated to many New England colleges, died Saturday.", founder of the Star Market supermarket chain and a philanthropist who donated to many New England colleges
"Nina Petrovna Khrushchev, the widow of Nikita S. Khrushchev, died in Moscow this month, Soviet official and family sources said yesterday.", the widow of Nikita S. Khrushchev
"Kurt H. Grunebaum, an investment banker and co-founder of the New York Hanseatic Corporation, a bond trading company, died Monday at White Plains Hospital after suffering a heart attack.", an investment banker and co-founder of the New York Hanseatic Corporation
"Representative Stewart B. McKinney, a nine-term Republican from Connecticut, died today at Washington Hospital Center of an infection brought on by AIDS.", a nine-term Republican from Connecticut
"Gloria Guinness, who for decades set trends in fashion and hospitality, died of a heart attack yesterday at her home in Lausanne, Switzerland, at the age of 67.", who for decades set trends in fashion and hospitality
"Philly Joe Jones, a leading modern-jazz drummer, died of a heart attack Friday at his home in Philadelphia.", a leading modern-jazz drummer
"The Rev. Vincent DePaul O'Beirne, S.J., who was head of the department of communication arts at Fordham University from 1948 to 1952, died Tuesday at Roosevelt Hospital.", S.J.
"Daniel Patrick Tehan, who served for 35 years as a National Football League official, collapsed and died of an apparent heart attack yesterday at his home here.", who served for 35 years as a National Football League official
"A memorial service will be held Wednesday for Helen Beal Woodward, 68 years old, a journalist, editor and author who died of cancer.", 68 years old
"Jacques Benoist-Mechin, a French historian who served in the Vichy Government and was condemned to death for treason after World War II, died Thursday in Bichat Hospital in Paris after a long illness.", a French historian who served in the Vichy Government and was condemned to death for treason after World War II
"Roland P. Beattie, retired president of Field & Beattie, a defunct New York City commercial illustration concern, died Friday at Overlook Hospital in Summit, N.J., He was 85 years old and lived in Murray Hill, N.J. Mr. Beattie, a commercial artist, had been with the company for 67 years until his retirement in 1980.", retired president of Field & Beattie
"Alfred S. Bloomingdale, for years the head of the Diners' Club and a key figure in the growth of the credit card business, died Friday night of cancer at St. John's Hospital in Santa Monica, Calif., his office announced yesterday.", for years the head of the Diners' Club and a key figure in the growth of the credit card business
"Joe Wood, a former Boston Red Sox pitcher known to old-time fans as Smoky Joe, died Saturday at a convalescent home.", a former Boston Red Sox pitcher known to old-time fans as Smoky Joe
"Willis K. Wing, an editor and literary agent for more than 50 years, died June 17 in the Kendal-Crosslands retirement home in Kennet Square, Pa.", an editor and literary agent for more than 50 years
"Dr. Sheldon H. Calem, a radiotherapist at several New York hospitals and an assistant clinical professor of radiotherapy at Mount Sinai School of Medicine, died Thursday of a heart attack.", a radiotherapist at several New York hospitals and an assistant clinical professor of radiotherapy at Mount Sinai School of Medicine
"Dr. Charlotte Friend, a medical microbiologist who made major contributions to the understanding of cancer during a career that spanned almost four decades, died Tuesday after a long illness.", a medical microbiologist who made major contributions to the understanding of cancer during a career that spanned almost four decades
"JOHN H. COLBURN VIRGINIA BEACH, Va., Feb. 2 (AP) - John H. Colburn, a former foreign correspondent and executive for The Associated Press and a retired vice president of Landmark Communications in Norfolk, Va., died Tuesday after a long illness.", Va.
"The Rev. Dr. Seward Hiltner, a Presbyterian minister who was a leader in the field of pastoral care and a former professor at the Princeton Theological Seminary, died Nov. 19 at his home in Princeton, N.J.", a Presbyterian minister who was a leader in the field of pastoral care and a former professor at the Princeton Theological Seminary
"Lloyd Espenschied, co-inventor of the coaxial cable, which paved the way for television transmission, died June 21 at a nursing home in Holmdel, N.J.", co-inventor of the coaxial cable
"F. Curtis Canfield, a former dean of the Yale School of Drama and one of the nation's leading drama educators, died June 8 at the Cooley Dickinson Hospital in Northampton, Mass.", a former dean of the Yale School of Drama and one of the nation's leading drama educators
"ST. LOUIS, Aug. 31 The Rev.", Aug. 31 The Rev.
"Lieut. Gen. Lookout Masuku, a former guerrilla leader and Zimbabwean Army official who was released last month after four years in detention, died Saturday, a hospital spokesman said.", a former guerrilla leader and Zimbabwean Army official who was released last month after four years in detention
"David M. Johnstone, a Republican candidate for the Connecticut House of Representatives, died of a heart attack Friday at Westerly (R.I.) Hospital.", a Republican candidate for the Connecticut House of Representatives
"Pericle Cardinal Felici, a Vatican expert in church law, died Sunday night at the age of 70 after participating in a religious procession in the southern city of Foggia, hospital authorities said.", a Vatican expert in church law
"Dr. Max Hoffer, a research chemist for Hoffmann-LaRoche Inc. and a pioneer in research on sulfa drugs, died Wednesday of a heart attack at his home in Nutley, N.J.", a research chemist for Hoffmann-LaRoche Inc. and a pioneer in research on sulfa drugs
"Louis E. Dean, one of the first radio announcers and a former advertising executive, died Sunday at Tampa (Fla.) General Hospital.", one of the first radio announcers and a former advertising executive
"Arthur Birnkrant, a writer, motion-picture executive and lawyer who taught screenwriting at the School of Visual Arts, died Thursday in New York.", a writer
"William E. Stevenson, a lawyer, educator and diplomat, died Tuesday night in Fort Myers, Fla., where he lived in retirement.", a lawyer
"Donald W. Dresden, a restaurant critic and contributor to The Washington Post Magazine, died Thursday at George Washington Hospital.", a restaurant critic and contributor to The Washington Post Magazine
"Lowell Bonfeld, a CBS Publications executive and former assistant to the business and financial editor of The New York Times, died yesterday at Montefiore Hospital in the Bronx after a long illness.", a CBS Publications executive and former assistant to the business and financial editor of The New York Times
"Ernest W. Lass, editor in chief and chairman of the board of The Asbury Park Press, died today at his home.", editor in chief and chairman of the board of The Asbury Park Press
"Vincent Beck, an actor and an official of two actors' unions, died of cancer Tuesday at his home in Manhattan.", an actor and an official of two actors' unions
"Jacob J. Schwartzwald, who served almost 50 years in the State Legislature and the courts, died Saturday at Interfaith Hospital in Brooklyn.", who served almost 50 years in the State Legislature and the courts
"Wriston Locklair, director of public relations and assistant to Gideon Waldrop, acting president of the Juilliard School, died Saturday at St. Clare's Hospital.", director of public relations and assistant to Gideon Waldrop
"Herbert B. Thatcher, a retired lieutenant general and former commander of the Air Defense Command, died Wednesday of respiratory failure.", a retired lieutenant general and former commander of the Air Defense Command
"George M. A. Hanfmann, the John E. Hudson Professor of Archeology Emeritus at Harvard University who was a distinguished scholar, author and curator, died of a heart attack Thursday in Cambridge, Mass.", the John E. Hudson Professor of Archeology Emeritus at Harvard University who was a distinguished scholar
"Alexander J. Allen, a former executive director of the Urban League of Greater New York, died of cancer at his home in Jamaica, Queens, on Friday.", a former executive director of the Urban League of Greater New York
"Hollis Frampton, an influential avant-garde film maker and photographer, died Friday after a brief illness.", an influential avant-garde film maker and photographer
"Gregory Hancock Doherty, a lawyer in New York City, died yesterday at Phelps Memorial Hospital Center in North Tarrytown, N.Y. Mr. Doherty, who was a resident of North Tarrytown, was 66 years old.", a lawyer in New York City
"Ursula Reilly Curtiss, the author of nearly two dozen mystery and suspense novels, died Wednesday of cancer in the Lovelace Medical Center in Albuquerque, N.M. She was 61 years old and lived in Albuquerque.", the author of nearly two dozen mystery and suspense novels
"Matthew B. Rosenhaus, president and chairman of the J.", president and chairman of the J.
"Dr. Rose Pfeffer, a professor of philosophy who was an authority on Friedrich Nietzsche, the German philosopher, died of a heart attack yesterday at her home in Manhattan.", a professor of philosophy who was an authority on Friedrich Nietzsche
"James Kemp, national president of the National Association for the Advancement of Colored People and a labor organizer for a half century, died Monday.", national president of the National Association for the Advancement of Colored People and a labor organizer for a half century
"Saul S. Levy, founder and retired president of the Simon Textiles Company of Manhattan, died of a heart attack last Saturday in North Miami Beach, Fla.", founder and retired president of the Simon Textiles Company of Manhattan
"Abe Burrows, the librettist, director, author and comic who wrote a score of shows for Broadway, including ''Guys and Dolls'' and ''How to Succeed in Business Without Really Trying,'' died of pneumonia Friday night at his home in Manhattan.", the librettist
"Charles K. Krieger, the Republican candidate for the House of Representatives from Hudson County, died in his sleep early Thursday at his home in Jersey City.", the Republican candidate for the House of Representatives from Hudson County
"Harrison R. Steeves, professor emeritus of English at Columbia College, where for many years he had been chairman of the English department, died Saturday at his home in Kingston, R.I.", professor emeritus of English at Columbia College
"Jerzy Andrzejewski, one of Poland's most prominent writers and political dissidents, died at his apartment in Warsaw during the night, his family said yesterday.", one of Poland's most prominent writers and political dissidents
"Freddie Steele, a former middleweight boxing champion, died here Thursday at a nursing home where he had been confined since suffering a stroke in 1980.", a former middleweight boxing champion
"Jose de Creeft, a sculptor, teacher and leading exponent of the direct method of sculpture, died yesterday at his home in Manhattan.", a sculptor
"Charles Whittenberg, a composer and former teacher of composition, died of heart disease at Hartford Hospital in Connecticut on Wednesday.", a composer and former teacher of composition
"Andres Soriano Jr., a Philippine industrialist, died Sunday night at his home in Madrid, his office here announced today.", a Philippine industrialist
"Julius Bloom, the former director of Carnegie Hall and a major force in guiding its fortunes from 1960 to 1979, died yesterday at his home in Brooklyn.", the former director of Carnegie Hall and a major force in guiding its fortunes from 1960 to 1979
"Max Pollikoff, a violinist who espoused contemporary composers and created the ''Music in Our Time'' series, died of cancer yesterday in New York University-Bellevue Hospital.", a violinist who espoused contemporary composers and created the ''Music in Our Time'' series
"Dr. Edward Evarts, who pioneered a widely used method for recording electrical activity of brain cells, suffered a fatal heart attack July 2 in his laboratory at the National Institute of Mental Health.", who pioneered a widely used method for recording electrical activity of brain cells
"James Amster, an interior decorator known for his traditional design style and his longstanding community involvement on the East Side, died of leukemia yesterday at the Mount Sinai Medical Center.", an interior decorator known for his traditional design style and his longstanding community involvement on the East Side
"Dr. Kan Chieh-hou, an American- educated former Chinese diplomat who broke with Chiang Kai-shek after the Communist conquest of the mainland, died of a heart attack on Nov. 10 at Phelps Memorial Hospital in Tarrytown, N.Y.", an American- educated former Chinese diplomat who broke with Chiang Kai-shek after the Communist conquest of the mainland
"Warren L. Schnur, a lawyer and retired president of the Cleveland Calendaring and Coating Corporation, died of a heart attack Monday.", a lawyer and retired president of the Cleveland Calendaring and Coating Corporation
"Patrick David de Laszlo, economist, engineer and industrialist, died Monday in a London hospital.", economist
"John W. Simmons, chairman emeritus of Morton-Norwich Products Inc., the Chicago-based manufacturer of salt, specialty chemical, pharmaceutical and household products, died Wednesday of cancer at his home in Chicago.", chairman emeritus of Morton-Norwich Products Inc.
"Norman Lloyd, the composer and author who in the 1940's introduced a new method for teaching musical theory, died of leukemia yesterday at his home in Greenwich, Conn.", the composer and author who in the 1940's introduced a new method for teaching musical theory
"Dorothy Molter, once described as ''the loneliest woman in America,'' died in a log cabin where she lived for 56 years on a wilderness island, officials said today.", once described as ''the loneliest woman in America
"Chief Rabbi Yaakov Bezalal Zolti, the top religious official of the Ashkenazic Jews in Jerusalem, died suddenly this week at the age of 62.", the top religious official of the Ashkenazic Jews in Jerusalem
"George W. MacRae, S.J., acting dean of the Harvard Divinity School, died this morning at St. Elizabeth's Hospital in Brighton, Mass., apparently of a heart attack, according to Michael West, a spokesman for the Divinity School.", S.J.
"Nelson Riddle, the Oscar-winning composer and arranger who was famed for his work with such stars as Frank Sinatra and Linda Ronstadt died today.", the Oscar-winning composer and arranger who was famed for his work with such stars as Frank Sinatra and Linda Ronstadt died today.
"George W. Woodruff, a director of the Coca-Cola Company for 49 years and a major contributor to education and medicine in Georgia, died of pneumonia Wednesday at Emory University Hospital.", a director of the Coca-Cola Company for 49 years and a major contributor to education and medicine in Georgia
"Howard E. Simpson, retired chairman and president of the Baltimore & Ohio Railroad Company died of a heart attack Sunday at Union Memorial Hospital in Baltimore, where he lived.", retired chairman and president of the Baltimore & Ohio Railroad Company died of a heart attack Sunday at Union Memorial Hospital in Baltimore
"William B. Thomas, who headed major women's apparel concerns, died of a stroke Saturday at Duke University Hospital in Durham, N.C.", who headed major women's apparel concerns
"Dominique Ponchardier, the French Resistance hero, thriller writer and diplomat, died Thursday, his family said.", the French Resistance hero
"Dr. Henry L. Guttenplan, a professor of law enforcement and corrections at Pennsylvania State University whose doctoral thesis in 1966 led to the reorganization of the scientific units of the New York City Police Department, died Wednesday at Centre Community Hospital in State College, Pa.", a professor of law enforcement and corrections at Pennsylvania State University whose doctoral thesis in 1966 led to the reorganization of the scientific units of the New York City Police Department
"Irving E. Gershon, an architect who practiced in Manhattan for 40 years, died Friday at New York Hospital.", an architect who practiced in Manhattan for 40 years
"Relatives of Fawn Brodie Dispute Statement on Excommunication SALT LAKE CITY, Jan. 29 (AP) - Relatives of Fawn M. Brodie, the historian, teacher and author who died of cancer Jan. 10 at the age of 65, contend that Mrs. Brodie did not request excommunication from the Mormon Church.", Jan. 29 (AP) - Relatives of Fawn M. Brodie
"Robert K. Adams, a radio and theater actor and then a producer of television and stage attractions, died Friday while visiting friends at Jekyll Island, Ga. Mr. Adams, who was a resident of Manhattan, was 72 years old.", a radio and theater actor and then a producer of television and stage attractions
"Dr. Frederick Emmons Terman, vice president and provost emeritus of Stanford University, a champion of excellence in the training of scientists and engineers and a force behind northern California's electronics industry, died Sunday at his home on the university's Palo Alto campus at the age of 82.", vice president and provost emeritus of Stanford University
"Sherman Adams, a onetime logger and former Governor who became known as the ''assistant President'' in Dwight D. Eisenhower's White House, was remembered by friends, family and politicians at funeral services Friday.", a onetime logger and former Governor who became known as the ''assistant President'' in Dwight D. Eisenhower's White House
"Robert Roth, a former Washington bureau chief and columnist for The Philadelphia Bulletin for nearly 30 years, died yesterday in the National Institutes of Health of complications after heart surgery.", a former Washington bureau chief and columnist for The Philadelphia Bulletin for nearly 30 years
"Dr. John M. Steele Jr., assistant professor of clinical medicine at the New York University School of Medicine, died of a heart attack yesterday at his home in North Tarrytown, N.Y.", assistant professor of clinical medicine at the New York University School of Medicine
"Keith I. Clearwaters, a senior Justice Department official in the Nixon Administration who was a key figure in one of the nation's largest antitrust suits, died of a heart attack Tuesday at his home in Falls Church, Va.", a senior Justice Department official in the Nixon Administration who was a key figure in one of the nation's largest antitrust suits
"J. McCall Hughes, former president, chairman and chief executive officer of the Mutual Life Insurance Company of New York, died Monday at his home in St. Croix, V.I., where he had recently moved from Mount Kisco, N.Y.", former president
"Dr. Ben F. Feingold, a pediatric allergist and author who believed that many hyperactive children could benefit from a diet that excluded all artificial colors and flavors, died yesterday at the Kaiser Foundation Hospital in San Francisco after a brief illness.", a pediatric allergist and author who believed that many hyperactive children could benefit from a diet that excluded all artificial colors and flavors
"Palen Flagler, a former advertising executive with J. P. Stevens & Company, died of cancer Friday at Community Hospital in Glen Cove, L.I.", a former advertising executive with J. P. Stevens & Company
"Charles Adams Mosher, an eight- term Congressman from Ohio who was one of the earliest and most persistent Republican Congressional critics of American involvement in the Vietnam War, died of congestive heart failure yesterday at Allen Memorial Hospital in Oberlin, his hometown.", an eight- term Congressman from Ohio who was one of the earliest and most persistent Republican Congressional critics of American involvement in the Vietnam War
"William Adolph Wambsganss, one of the two remaining members of the 1920 world champion Cleveland Indians, died Sunday in Lakewood Hospital.", one of the two remaining members of the 1920 world champion Cleveland Indians
"John Robert Pascal, a newsman who was co-author of the 1968-69 Broadway musical ''George M!,'' died of cancer Wednesday at the age of 48 at Roosevelt Hospital.", a newsman who was co-author of the 1968-69 Broadway musical ''George M!
"Dr. Richard J. Sullivan, a physician and former Democratic chairman of Rockland County, died of cancer yesterday at Good Samaritan Hospital in Suffern, N.Y.", a physician and former Democratic chairman of Rockland County
"Phyllis Ellsworth Dillon, the wife of C. Douglas Dillon, former Secretary of the Treasury and Ambassador to France, died yesterday at her home in Manhattan after a long illness.", the wife of C. Douglas Dillon
"Terry W. McAdam, executive vice president and program director of the Conrad N. Hilton Foundation in Los Angeles, died Friday at his home in Malibu, Calif.", executive vice president and program director of the Conrad N. Hilton Foundation in Los Angeles
"George Duvivier, a string bassist who played in the bands of Benny Goodman, Jimmie Lunceford and Coleman Hawkins and performed with the New York Philharmonic, the Philadelphia Orchestra and the Boston Pops, died of cancer Thursday at his home in Manhattan.", a string bassist who played in the bands of Benny Goodman
"Leo W. O'Brien, an Albany Democrat who served in the House of Representatives from 1952 until his retirement in 1966, died of a heart ailment yesterday at St. Peter's Hospital in Albany.", an Albany Democrat who served in the House of Representatives from 1952 until his retirement in 1966
"Dr. Edmund F. McNally, clinical associate professor of medicine at the Downstate Medical Center of the State University of New York, died Monday at the Veterans Adminstration Hospital in Brooklyn.", clinical associate professor of medicine at the Downstate Medical Center of the State University of New York
"Albert Dailey, a jazz pianist who worked with Art Blakey, Charles Mingus, Sonny Rollins and other major musicians, and as a soloist around New York City, died of pneumonia June 26 in Denver.", a jazz pianist who worked with Art Blakey
"Theresa Sweeney O'Brien, wife of Raymond V. O'Brien, chairman of the board and chief executive officer of the Emigrant Savings Bank, died Monday at the Memorial Sloan-Kettering Cancer Center.", wife of Raymond V. O'Brien
"Iva Kitchell, an internationally famous dance comedian, died on Saturday at the Ormond Beach Memorial Hospital in Florida after a stroke.", an internationally famous dance comedian
"William J. Mitchel, considered one of the top commercial code experts in the world before his retirement in 1969, died Friday at a nursing home in Mountain View, Calif., after a long illness.", considered one of the top commercial code experts in the world before his retirement in 1969
"William Gelon McKnight Jr., formerly a partner in Eastman Dillon, Union Securities, and a director of the Tidewater Oil Company and the Rhinelander Real Estate Company, died yesterday at Lenox Hill Hospital in Manhattan after suffering a heart attack.", formerly a partner in Eastman Dillon
"Rosa Persin, the founder of the Uptown Gallery, which she operated from 1930 until it closed in 1949, died Friday at St. Luke's-Roosevelt Hospital Center.", the founder of the Uptown Gallery
"Per Monsen, a Norwegian journalist who was former director of the International Press Institute and editor in chief of the Norwegian news agency N.T.B., has died, his family said today.", a Norwegian journalist who was former director of the International Press Institute and editor in chief of the Norwegian news agency N.T.B.
"Chief Gerard L. Brown, former chief operations officer of the New York City Department of Corrections, died yesterday at the Veterans Administration Hospital in Manhattan after a long illness.", former chief operations officer of the New York City Department of Corrections
"MOSCOW, Jan .", Jan .
"Ira Guilden, a New York investment banker and financier who was a major supporter of Israel's economic and cultural development, died of a heart attack Sunday while visiting the home of a friend in Manhattan.", a New York investment banker and financier who was a major supporter of Israel's economic and cultural development
"Anton Bruehl, a leading photographer in the 1920's and 30's and one of the first to work in color, died Aug. 10 in San Francisco.", a leading photographer in the 1920's and 30's and one of the first to work in color
"Justice John E. Cone, the former administrative judge of State Supreme Court in Kings and Richmond Counties, died Saturday of heart failure in New York Hospital-Cornell Medical Center.", the former administrative judge of State Supreme Court in Kings and Richmond Counties
"Jane Frazee, an actress who appeared in a series of light movie musicals in the 1940's, died of pneumonia Friday.", an actress who appeared in a series of light movie musicals in the 1940's
"Hungary's new Defense Minister, Gen. Istvan Olah, died today, the official Soviet press agency Tass reported from Budapest.", Gen. Istvan Olah
"Louise Steinman von Hess, a philanthropist with an interest in architectural preservation and a co-owner of Lancaster Newspapers Inc., died Wednesday at her estate, Conestoga House, in Lancaster, Pa. She was 80 years old.", a philanthropist with an interest in architectural preservation and a co-owner of Lancaster Newspapers Inc.
"Leonard L. Frank, who with a partner built more than 8,000 private homes across Queens and in Nassau and Suffolk Counties after World War II, died Wednesday at his home in Roslyn Harbor, L.I.", who with a partner built more than 8
"Franklin Bandy, who wrote mystery and suspense novels and was a director and a former executive vice president of the Mystery Writers of America, died Saturday at the White Plains Hospital Medical Center in White Plains.", who wrote mystery and suspense novels and was a director and a former executive vice president of the Mystery Writers of America
"Charles V. Morris, a retired vice president of Saxon Industries and an authority on printing and the graphic arts, died Wednesday at St. Barnabas Medical Center in Livingston, N.J.", a retired vice president of Saxon Industries and an authority on printing and the graphic arts
"William Michael Cushman, president and chief operating officer of Schieffelin & Company, wine and spirits importers, died Friday of pneumonia at Memorial Sloan-Kettering Cancer Center.", president and chief operating officer of Schieffelin & Company
"Benjamin B. Selvin, known as the ''dean of the recorded music industry,'' having made more than 9,000 recordings as a band leader, died of a heart attack yesterday.", known as the ''dean of the recorded music industry
"Ray Fisher, the oldest former player of the New York Yankees and the Cincinnati Reds, died today at the age of 95.", the oldest former player of the New York Yankees and the Cincinnati Reds
"John J. Galgay, a United States District Court bankruptcy judge in Manhattan, died Sunday at the Memorial Sloan-Kettering Cancer Center.", a United States District Court bankruptcy judge in Manhattan
"Nicholas Kaldor, an economist and longtime adviser to the British Labor Party, died yesterday at his home in Cambridge, England, his family said.", an economist and longtime adviser to the British Labor Party
"Dr. Harry D. Gideonse, who presided over a period of wide growth and new prominence as president of Brooklyn College from 1939 to 1966, died Tuesday at the Port Jefferson (L.I.)", who presided over a period of wide growth and new prominence as president of Brooklyn College from 1939 to 1966
"Dr. Louis C. Hunter, a retired professor of economic history and an internationally-known authority on the industrial development of the United States, died Thursday at the Harvard Community Health Plan Hospital in Boston.", a retired professor of economic history and an internationally-known authority on the industrial development of the United States
"Jules Backman, an economist who taught at New York University for nearly 50 years and who for the last six years had been chairman of the board of governors of Hebrew Union College, died of a heart attack Thursday night at his home in Scarsdale, N.Y.", an economist who taught at New York University for nearly 50 years and who for the last six years had been chairman of the board of governors of Hebrew Union College
"Harold Hecht, the film producer who joined with Burt Lancaster to form one of the first independent film producing companies in Hollywood, died of complications from cancer Saturday at his home in Beverly Hills, Calif.", the film producer who joined with Burt Lancaster to form one of the first independent film producing companies in Hollywood
"Joseph P. Vaccarella, former Mayor of Mount Vernon, N.Y., died Wednesday at Mount Vernon Hospital.", former Mayor of Mount Vernon
"Lieut. Col. William Stirling, who worked with his brother David in organizing Britain's Special Air Service Regiment in World War II, died Sunday, the King Edward VII Hospital for Officers reported.", who worked with his brother David in organizing Britain's Special Air Service Regiment in World War II
"Lyudmila Zhivkova, one of Bulgaria's most powerful political figures, has died, the Government press agency B.T.A.", one of Bulgaria's most powerful political figures
"Ben Novack Sr., founder of the Fontainebleau Hotel, a popular vacation place for the rich and famous in the 1950's, died of heart and lung failure Friday at Mount Sinai Medical Center.", founder of the Fontainebleau Hotel
"Avelar Cardinal Brandao Vilela, head of the Roman Catholic Church in Brazil and Archbishop of the northeastern city of Salvador, died of stomach cancer Friday in a hospital there, the hospital said today.", head of the Roman Catholic Church in Brazil and Archbishop of the northeastern city of Salvador
"Louis Tannen, a magician and magic-trick inventor who founded one of the largest and best-known magic-supply stores and mail-order businesses in the world, died Saturday at Biscayne Medical Center in North Miami Beach.", a magician and magic-trick inventor who founded one of the largest and best-known magic-supply stores and mail-order businesses in the world
"UPPER WEST SIDE RESIDENCES By JOAN COOK David Tishman, former president and chairman of the board of the Tishman Realty and Construction Company, one of the country's leading builders and real-estate developers, died yesterday at Doctors Hospital after a long illness.", former president and chairman of the board of the Tishman Realty and Construction Company
"Bowman Gray 3d, former chairman of the Grand Union Company, died Friday of a heart attack.", former chairman of the Grand Union Company
"Dr. William M. Hitzig, a prominent New York physician who aided Japanese victims of the atomic bomb and Polish victims of Nazi medical experiments, died Saturday at Mount Sinai Medical Center after a long illness caused by a stroke.", a prominent New York physician who aided Japanese victims of the atomic bomb and Polish victims of Nazi medical experiments
"Assemblyman Robert J. Meyer, a Republican who had represented Burlington County since 1981, died, apparently of a heart attack, at Memorial Hospital of Burlington County in Mount Holly Saturday.", a Republican who had represented Burlington County since 1981
"Louis Cheskin, a pioneer in the field of motivation research and marketing techniques, died last Saturday at Stanford University Hospital after suffering a heart attack.", a pioneer in the field of motivation research and marketing techniques
"Jacques Mercier-Cointreau, chairman of Cointreau Ltd., the Manhattan-based branch of the Cointreau liqueur distillery in Angers, France, died Sunday at Lenox Hill Hospital in Manhattan.", chairman of Cointreau Ltd.
"Peter Keber, a retired officer of the IU International Corporation, died Sunday at his home in Villanova, Pa.", a retired officer of the IU International Corporation
"Paul O. Grammer Sr.; Began Steel Concerns Paul O. Grammer Sr., a retired steel executive, died Wednesday at the Holmdel (N.J.) Convalescent Center.", a retired steel executive
"State Senator John D. Calandra, the 57-year-old Bronx Republican who died of a heart attack Monday, was eulogized yesterday before nearly 1,000 friends, colleagues and family members for his ''no-nonsense approach'' to political problems.", the 57-year-old Bronx Republican who died of a heart attack Monday
"Arthur Little Worthington, a retired New York City banker, died of a heart attack Monday at the Portsmouth (N.H.) Hospital.", a retired New York City banker
"Nate Nelson, a lead singer of the Platters for most of two decades, died of heart disease today, a day after his wife made a plea to his fans to find a heart for her ailing husband.", a lead singer of the Platters for most of two decades
"Dr. John Rock, a pioneer in the study of human fertility who helped develop the birth control pill, died early yesterday of a heart attack in Peterborough, N.H.", a pioneer in the study of human fertility who helped develop the birth control pill
"Erving Pruyn, a former Connecticut Circuit Court judge and Representative in the Connecticut Legislature, died Saturday at a nursing home in Charleston, S.C.", a former Connecticut Circuit Court judge and Representative in the Connecticut Legislature
"Tommy Reynolds, a clarinetist and band leader, died Tuesday at Beth Israel Hospital after a long illness.", a clarinetist and band leader
"William I. Riegelman, a corporate and estate-and-trust lawyer in New York for more than four decades, died yesterday at the White Plains Hospital Medical Center, where he had been since suffering a heart attack a week ago.", a corporate and estate-and-trust lawyer in New York for more than four decades
"James A. Logie, a former vice president of the Hickey Freeman Company, died Monday at Mountainside Hospital in Montclair, N.J.", a former vice president of the Hickey Freeman Company
"Edward L. Hyman, a retired vice president of American Broadcasting-Paramount Theaters Inc. died Tuesday at Commnity Hospital in Glen Cove, L.I.", a retired vice president of American Broadcasting-Paramount Theaters Inc. died Tuesday at Commnity Hospital in Glen Cove
"Benjamin Bartel, a lawyer who was former chairman of the board of Alexander's Inc., the department store chain, died of a heart attack early Sunday at New York Hospital.", a lawyer who was former chairman of the board of Alexander's Inc.
"Sid L. Hydeman, a retired magazine art editor and graphic artist who specialized in portraits of authors and theatrical and public figures, died Wednesday in Danbury (Conn.) Hospital.", a retired magazine art editor and graphic artist who specialized in portraits of authors and theatrical and public figures
"Henry Burr Steinbach, professor emeritus of biology at the University of Chicago and director emeritus at the Marine Biological Laboratory at Woods Hole, Mass., died Monday at Falmouth Hospital in Falmouth, Mass.", professor emeritus of biology at the University of Chicago and director emeritus at the Marine Biological Laboratory at Woods Hole
"Rabbi George B. Lieberman, rabbi emeritus of the Central Synagogue of Nassau County, in Rockville Centre, and a leader in efforts to help Soviet Jews, died of cancer yesterday at Southampton (L.I.)", rabbi emeritus of the Central Synagogue of Nassau County
"Hershy Kay, whose breezy ballet scores and orchestrations of Leonard Bernstein's ''On the Town,'' ''Candide'' and ''Mass'' established him as one of music's foremost arrangers, died of heart failure in Danbury (Conn.) Hospital on Wednesday.", whose breezy ballet scores and orchestrations of Leonard Bernstein's ''On the Town
